2024-06-05 15:52:10,2024-06-05 15:52:20,2,6
2024-06-05 15:52:10,2024-06-05 15:52:20,3,4
2024-06-05 15:52:15,2024-06-05 15:52:25,2,6
2024-06-05 15:52:15,2024-06-05 15:52:25,3,6
2024-06-05 15:52:15,2024-06-05 15:52:25,1,7
2024-06-05 15:52:25,2024-06-05 15:52:35,1,5
2024-06-05 15:52:25,2024-06-05 15:52:35,3,8
2024-06-05 15:52:25,2024-06-05 15:52:35,2,5
2024-06-05 15:52:20,2024-06-05 15:52:30,1,7
2024-06-05 15:52:20,2024-06-05 15:52:30,2,2
2024-06-05 15:52:20,2024-06-05 15:52:30,3,8
2024-06-05 15:52:30,2024-06-05 15:52:40,1,5
2024-06-05 15:52:30,2024-06-05 15:52:40,3,6
2024-06-05 15:52:30,2024-06-05 15:52:40,2,5
2024-06-05 15:52:35,2024-06-05 15:52:45,3,7
2024-06-05 15:52:40,2024-06-05 15:52:50,2,7
2024-06-05 15:52:40,2024-06-05 15:52:50,1,8
2024-06-05 15:52:35,2024-06-05 15:52:45,1,8
2024-06-05 15:52:40,2024-06-05 15:52:50,3,7
2024-06-05 15:52:35,2024-06-05 15:52:45,2,7
2024-06-05 15:52:45,2024-06-05 15:52:55,1,8
2024-06-05 15:52:45,2024-06-05 15:52:55,3,8
2024-06-05 15:52:45,2024-06-05 15:52:55,2,2
2024-06-05 15:52:50,2024-06-05 15:53,3,8
2024-06-05 15:52:50,2024-06-05 15:53,1,7
2024-06-05 15:52:50,2024-06-05 15:53,2,6
2024-06-05 15:52:14,2024-06-05 15:52:19,3,5
2024-06-05 15:52:12,2024-06-05 15:52:17,2,6
2024-06-05 15:52:10,2024-06-05 15:52:15,3,4
2024-06-05 15:52:14,2024-06-05 15:52:19,1,7
2024-06-05 15:52:10,2024-06-05 15:52:15,2,6
2024-06-05 15:52:12,2024-06-05 15:52:17,3,5
2024-06-05 15:52:16,2024-06-05 15:52:21,1,7
2024-06-05 15:52:18,2024-06-05 15:52:23,3,6
2024-06-05 15:52:16,2024-06-05 15:52:21,3,6
2024-06-05 15:52:18,2024-06-05 15:52:23,1,7
2024-06-05 15:52:22,2024-06-05 15:52:27,3,8
2024-06-05 15:52:22,2024-06-05 15:52:27,1,5
2024-06-05 15:52:22,2024-06-05 15:52:27,2,5
2024-06-05 15:52:24,2024-06-05 15:52:29,2,5
2024-06-05 15:52:20,2024-06-05 15:52:25,3,8
2024-06-05 15:52:20,2024-06-05 15:52:25,1,5
2024-06-05 15:52:24,2024-06-05 15:52:29,3,8
2024-06-05 15:52:30,2024-06-05 15:52:35,3,6
2024-06-05 15:52:30,2024-06-05 15:52:35,1,5
2024-06-05 15:52:26,2024-06-05 15:52:31,3,6
2024-06-05 15:52:30,2024-06-05 15:52:35,2,4
2024-06-05 15:52:28,2024-06-05 15:52:33,2,4
2024-06-05 15:52:28,2024-06-05 15:52:33,1,5
2024-06-05 15:52:26,2024-06-05 15:52:31,2,5
2024-06-05 15:52:26,2024-06-05 15:52:31,1,5
