2024-06-05 15:52:12,2024-06-05 15:52:15,1,17.790000915527344
2024-06-05 15:52:11,2024-06-05 15:52:18,2,16.06000010172526
2024-06-05 15:52:14,2024-06-05 15:52:20,3,17.543333371480305
2024-06-05 15:52:21,2024-06-05 15:52:24,3,14.0600004196167
2024-06-05 15:52:19,2024-06-05 15:52:25,2,17.969999313354492
2024-06-05 15:52:18,2024-06-05 15:52:28,1,12.467999839782715
2024-06-05 15:52:27,2024-06-05 15:52:31,2,13.194999694824219
2024-06-05 15:52:30,2024-06-05 15:52:33,1,19.860000610351562
2024-06-05 15:52:34,2024-06-05 15:52:37,1,13.600000381469727
2024-06-05 15:52:33,2024-06-05 15:52:39,2,17.075000286102295
2024-06-05 15:52:38,2024-06-05 15:52:41,1,11.869999885559082
2024-06-05 15:52:26,2024-06-05 15:52:43,3,15.286249995231628
2024-06-05 15:52:41,2024-06-05 15:52:44,2,23.059999465942383
2024-06-05 15:52:42,2024-06-05 15:52:46,1,15.330000400543213
2024-06-05 15:52:44,2024-06-05 15:52:51,3,11.729999923706055
2024-06-05 15:52:49,2024-06-05 15:53:00,2,19.493999862670897
2024-06-05 15:52:58,2024-06-05 15:53:01,3,15.75
2024-06-05 15:53:01,2024-06-05 15:53:05,2,13.875000476837158
2024-06-05 15:52:52,2024-06-05 15:53:06,1,14.881428446088519
